num a b c d
590 0.1431 0.0 3.4e-06 6.104e-05
591 -0.962 0.0 7.03e-06 6.104e-05
592 -0.9575 0.0 0.0037 6.104e-05
593 -0.8438 0.0 5.317e-05 6.104e-05
594 -0.474 0.0 0.0001901 6.104e-05
595 -0.8467 0.0 0.0 6.104e-05
596 -0.3564 0.0 0.9126 6.104e-05
597 -0.8506 0.0 3.433e-05 6.104e-05
598 -0.1832 0.0 0.9946 6.104e-05
599 -0.3013 0.0 1.71e-05 6.104e-05
600 -0.4294 -0.02377 0.00174 6.104e-05
601 -0.8296 0.0 2.08e-05 6.104e-05
602 0.2488 0.0 0.03564 6.104e-05
603 0.4578 0.0 0.0001234 6.104e-05
604 -0.1372 0.0 0.003952 6.104e-05
605 -0.9165 -0.02377 4e-07 6.104e-05
606 -0.4795 -0.1028 1e-07 6.104e-05
607 0.723 -0.166 2.76e-05 6.104e-05
608 -0.471 -0.166 0.0 6.104e-05
609 0.9053 -0.2451 0.000508 6.104e-05
610 0.602 -0.2925 0.0 6.104e-05
611 0.9297 -0.3953 0.0 6.104e-05
612 0.88 -0.4111 3e-06 6.104e-05
613 0.9966 -0.4111 0.005478 6.104e-05
614 0.9985 -0.3242 0.861 6.104e-05
615 1.0 0.0 0.000175 6.104e-05
616 0.999 0.0 0.0 6.104e-05
617 0.9927 0.0 1.37e-05 6.104e-05
618 0.6167 0.0 1.7e-06 6.104e-05
619 -0.5815 0.0 0.000284 6.104e-05
620 0.1466 0.0 7e-07 6.104e-05
621 -0.523 0.0 0.0 6.104e-05
622 0.615 0.0 5.406e-05 6.104e-05
623 -0.8647 0.0 0.1881 6.104e-05
624 -1.0 0.0 1.73e-05 6.104e-05
625 -1.0 0.0 3e-07 6.104e-05
626 -0.9995 -0.02377 4.756e-05 6.104e-05
627 -0.999 -0.02377 2.7e-06 6.104e-05
628 -1.0 -0.02377 0.6953 6.104e-05
629 -0.986 -0.07117 0.3308 6.104e-05
630 -0.958 -0.2688 0.999 6.104e-05
631 0.415 -0.4744 1.0 6.104e-05
632 0.749 -0.7354 7.766e-05 6.104e-05
633 0.9756 -0.759 0.7793 6.104e-05
634 0.9106 -0.6562 0.1635 6.104e-05
635 -0.288 0.0 0.006092 6.104e-05
636 0.8447 0.0 0.0004702 6.104e-05
637 0.9463 0.0 0.321 6.104e-05
638 0.997 0.0 1.633e-05 6.104e-05
639 0.969 0.0 1.78e-05 6.104e-05
640 0.9033 0.0 0.519 6.104e-05
641 0.738 0.0 0.000483 6.104e-05
642 0.3398 0.0 0.999 0.0554
643 -0.2335 0.0 0.1622 0.1265
644 -0.896 0.0 0.02487 0.166
645 -0.962 0.0 0.03223 0.2135
646 -0.988 0.0 0.0004542 0.2292
647 -0.917 0.0 6.44e-06 0.2292
648 -0.912 0.0 5.4e-07 0.2372
649 -0.9316 0.0 0.02202 0.2372
650 -0.308 0.0 1.16e-05 0.2372
651 0.918 0.0 0.0002204 0.2372
652 -0.529 0.0 0.01202 0.2372
653 0.4766 0.0 0.01524 0.2372
654 0.572 0.0 0.997 0.11865
655 0.9956 0.0 2.1e-06 6.104e-05
656 0.971 0.0 1.21e-05 6.104e-05
657 0.424 0.0 0.00705 6.104e-05
658 -0.08716 0.0 0.139 6.104e-05
659 -0.1324 0.0 0.000154 6.104e-05
660 -0.8174 0.0 0.0001314 6.104e-05
661 -0.0666 0.0 0.0005236 6.104e-05
662 0.352 0.0 0.2505 6.104e-05
663 -0.3103 0.0 1e-06 6.104e-05
664 0.936 0.0 6.6e-06 6.104e-05
665 0.715 0.03952 1.25e-06 6.104e-05
666 -0.2874 0.05533 0.962 6.104e-05
667 -0.867 0.05533 6.807e-05 6.104e-05
668 -0.8633 0.05533 6.23e-05 6.104e-05
669 0.3323 0.05533 3e-07 6.104e-05
670 0.887 0.05533 4.8e-06 6.104e-05
